Delay,Loss,Variant,Mean,Stdev
10,0.1,reno,193439346.42105263,51824068.19400538
10,0.5,reno,138720353.21052632,82415766.42542692
10,1,reno,113301613.94736843,101899022.7312124
50,0.1,reno,33325319.75,14186392.739193372
50,0.5,reno,23564421.5,18718468.153972056
50,1,reno,9140747.611842105,14853521.377442507
100,0.1,reno,19916976.342105262,6242526.382112387
100,0.5,reno,4175619.572368421,5605495.618652741
100,1,reno,1136709.7664473683,200582.454716898
10,0.1,cubic,193271659.0526316,71240330.20667344
10,0.5,cubic,178599993.0526316,77914630.06891567
10,1,cubic,88569921.84210527,93527325.60246165
50,0.1,cubic,39154365.473684214,12802287.274050524
50,0.5,cubic,17734415.736842107,17027801.306538958
50,1,cubic,4237508.9144736845,3596269.074730533
100,0.1,cubic,18985799.184210528,6139735.565024879
100,0.5,cubic,7069422.697368421,5916121.097573584
100,1,cubic,2524913.9967105263,1866381.9631260622
