Delay,Loss,Variant,Mean,Stdev
10,0.1,reno,193007077.68421054,64490001.488914005
10,0.5,reno,150883729.84210527,93749311.94318275
10,1,reno,65242207.2368421,89104822.48140658
50,0.1,reno,40699011.473684214,12148563.824128272
50,0.5,reno,8134719.875,11596664.95687272
50,1,reno,4764442.907894737,9041846.610278517
100,0.1,reno,19295380.5,5223900.421613462
100,0.5,reno,8507287.92763158,8300069.500459303
100,1,reno,2411752.9210526315,4533196.924021846
10,0.1,cubic,223224262.7368421,11062303.541660676
10,0.5,cubic,153260564.84210527,87198835.360139
10,1,cubic,82789257.76315789,86649916.47119774
50,0.1,cubic,37258762.84210526,13598828.23613221
50,0.5,cubic,23236091.210526317,17689250.111748476
50,1,cubic,5292687.980263158,5907208.49296404
100,0.1,cubic,15915934.144736841,7296166.600510543
100,0.5,cubic,6702944.572368421,6387344.046824911
100,1,cubic,2737125.9835526315,2794096.4731789334
